"iso","country","year","region","type","consumption","per_capita","percent"
"ARE","United Arab Emirates",2004,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2004,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",2004,"Middle East and North Africa","Total",2.43024,0.60857,1
"ARE","United Arab Emirates",2004,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2005,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2005,"Middle East and North Africa","Coal",0.00609,0.00142,0.0024
"ARE","United Arab Emirates",2005,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2005,"Middle East and North Africa","Natural Gas",1.47596,0.34477,0.58187
"ARE","United Arab Emirates",2005,"Middle East and North Africa","Nuclear",NA,NA,NA
"ARE","United Arab Emirates",2005,"Middle East and North Africa","Oil",1.05451,0.24632,0.41573
"ARE","United Arab Emirates",2005,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2005,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",2005,"Middle East and North Africa","Total",2.53655,0.59252,1
"ARE","United Arab Emirates",2005,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2006,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2006,"Middle East and North Africa","Coal",0.01179,0.00241,0.00442
"ARE","United Arab Emirates",2006,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2006,"Middle East and North Africa","Natural Gas",1.52194,0.31067,0.5703
"ARE","United Arab Emirates",2006,"Middle East and North Africa","Nuclear",NA,NA,NA
"ARE","United Arab Emirates",2006,"Middle East and North Africa","Oil",1.13493,0.23167,0.42528
"ARE","United Arab Emirates",2006,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2006,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",2006,"Middle East and North Africa","Total",2.66865,0.54474,1
"ARE","United Arab Emirates",2006,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2007,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2007,"Middle East and North Africa","Coal",0.00568,0.00097,0.00193
"ARE","United Arab Emirates",2007,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2007,"Middle East and North Africa","Natural Gas",1.72578,0.29387,0.58578
"ARE","United Arab Emirates",2007,"Middle East and North Africa","Nuclear",NA,NA,NA
"ARE","United Arab Emirates",2007,"Middle East and North Africa","Oil",1.21465,0.20683,0.41229
"ARE","United Arab Emirates",2007,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2007,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",2007,"Middle East and North Africa","Total",2.9461,0.50167,1
"ARE","United Arab Emirates",2007,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2008,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2008,"Middle East and North Africa","Coal",0.01437,0.00206,0.00425
"ARE","United Arab Emirates",2008,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2008,"Middle East and North Africa","Natural Gas",2.087,0.29863,0.61778
"ARE","United Arab Emirates",2008,"Middle East and North Africa","Nuclear",NA,NA,NA
"ARE","United Arab Emirates",2008,"Middle East and North Africa","Oil",1.27688,0.18271,0.37797
"ARE","United Arab Emirates",2008,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2008,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",2008,"Middle East and North Africa","Total",3.37824,0.48339,1
